Nome,Jogador,País,Clube,Liga,Posição,Idade,Altura,Peso,Valor_Mercado,Salário,Gols_Ano,Gols_Carreira
João Silva,João Silva,br BRA,Palmeiras,Serie A,Atacante,25,180,75,5000000,15000,15,45
Pedro Santos,Pedro Santos,br BRA,Santos,Serie A,Meio Campo,23,175,70,3000000,12000,8,22
Carlos Lima,Carlos Lima,br BRA,Corinthians,Serie A,Atacante,28,182,78,4000000,14000,12,38
Miguel Costa,Miguel Costa,pt POR,Porto,Primeira Liga,Atacante,26,178,73,6000000,18000,18,52
André Silva,André Silva,pt POR,Benfica,Primeira Liga,Meio Campo,24,176,71,3500000,13000,6,19
Luis Rodriguez,Luis Rodriguez,es ESP,Real Madrid,La Liga,Atacante,27,185,80,8000000,25000,20,65
Diego Garcia,Diego Garcia,ar ARG,Boca Juniors,Primera Division,Atacante,29,179,76,4500000,16000,14,41
Roberto Silva,Roberto Silva,br BRA,Grêmio,Serie A,Defensor,31,188,82,2000000,8000,0,2
Fernando Alves,Fernando Alves,br BRA,Internacional,Serie A,Meio Campo,22,173,68,2500000,10000,5,12
Ricardo Costa,Ricardo Costa,pt POR,Sporting,Primeira Liga,Atacante,25,177,74,3200000,12500,11,28
